<ID|readonly|noverify>;<English>
USA_ARMY;
us_m2_medium_shop;M2
us_m2_medium_0;Medium Tank, M2
us_m2_medium_1;M2
us_m2_medium_2;Medium tank
us_m2a2_shop;M2A2
us_m2a2_0;Light Tank M2A2
us_m2a2_1;M2A2
us_m2a2_2;Light tank
us_m2a4_shop;M2A4
us_m2a4_0;Light Tank, M2A4
us_m2a4_1;M2A4
us_m2a4_2;Light tank
us_m2a4_1st_armor_div_shop;M2A4 (1st Arm.Div.)
us_m2a4_1st_armor_div_0;Light Tank, M2A4 (1st Arm.Div.)
us_m2a4_1st_armor_div_1;M2A4
us_m2a4_1st_armor_div_2;Light tank
shop/group/m3_light_group;M3 Stuart
us_m3_stuart_shop;M3 Stuart
us_m3_stuart_0;Light Tank M3, Stuart
us_m3_stuart_1;M3
us_m3_stuart_2;Light tank
us_m3a1_stuart_shop;M3A1 Stuart
us_m3a1_stuart_0;Light Tank, M3A1, Stuart
us_m3a1_stuart_1;M3A1
us_m3a1_stuart_2;Light tank
us_m3a1_stuart_usmc_shop;M3A1 [USMC]
us_m3a1_stuart_usmc_0;Light Tank, M3A1, Stuart [United States Marine Corps]
us_m3a1_stuart_usmc_1;M3A1
us_m3a1_stuart_usmc_2;Light tank
us_lvt_a_1_shop;LVT(A)(1)
us_lvt_a_1_0;Landing Vehicle, Tracked (Armored) (Mark 1)
us_lvt_a_1_1;LVT(A)(1)
us_lvt_a_1_2;Light tank
us_lvt_a_1_trb_shop;○ LVT(A)(1)
us_lvt_a_1_trb_0;○ TheRussianBadger's Landing Vehicle, Tracked (Armored) (Mark 1)
us_lvt_a_1_trb_1;○ LVT(A)(1)
us_lvt_a_1_trb_2;Light Tank
us_lvt_a_4_shop;LVT(A)(4)
us_lvt_a_4_0;Landing Vehicle, Tracked (Armored) (Mark 4)
us_lvt_a_4_1;LVT(A)(4)
us_lvt_a_4_2;Light tank
us_lvt_4_zis_2_shop;LVT(A)(4) (ZiS-2)
us_lvt_4_zis_2_0;Landing Vehicle, Tracked (Armored) (Mark 4) (Stalingradsky Traktoriy Zavod ZiS-2)
us_lvt_4_zis_2_1;LVT(A)(4)
us_lvt_4_zis_2_2;Light tank
us_m22_locust_shop;M22
us_m22_locust_0;Light Tank (Airborne), M22 Locust
us_m22_locust_1;M22
us_m22_locust_2;Light tank
us_halftrack_m13_shop;M13 MGMC
us_halftrack_m13_0;M13 Multiple Gun Motor Carriage
us_halftrack_m13_1;M13 MGMC
us_halftrack_m13_2;SPAA
us_m8_scott_shop;M8 HMC Scott
us_m8_scott_0;75mm Howitzer Motor Carriage, M8 Scott
us_m8_scott_1;M8 HMC
us_m8_scott_2;SPG
us_m8a1_shop;M8A1 GMC
us_m8a1_0;75mm Gun Motor Carriage, M8A1 General Scott
us_m8a1_1;M8A1 GMC
us_m8a1_2;SPG
us_halftrack_m3_75mm_gmc_shop;M3 GMC
us_halftrack_m3_75mm_gmc_0;75mm Gun Motor Carriage, M3
us_halftrack_m3_75mm_gmc_1;M3 GMC
us_halftrack_m3_75mm_gmc_2;SPG
us_m8_greyhound_shop;M8 LAC
us_m8_greyhound_0;Light Armored Car, M8
us_m8_greyhound_1;M8 LAC
us_m8_greyhound_2;Armored car
us_m5a1_stuart_shop;M5A1 Stuart
us_m5a1_stuart_0;Light Tank, M5A1, Stuart
us_m5a1_stuart_1;M5A1
us_m5a1_stuart_2;Light tank
us_m5a1_stuart_canadian_5st_arm_shop;▃ Stuart VI (5th Arm.Div.]
us_m5a1_stuart_canadian_5st_arm_0;Stuart Mk. VI [5th Canadian (Armoured) Division «Maroon 5»]
us_m5a1_stuart_canadian_5st_arm_1;▃ Stuart VI
us_m5a1_stuart_canadian_5st_arm_2;Light tank
us_m5a1_stuart_td_shop;M5A1 Stuart «Carol»
us_m5a1_stuart_td_0;Light Tank, M5A1 Stuart [C34 | C Company, 3rd Tank Battalion] «Carol»
us_m5a1_stuart_td_1;M5A1
us_m5a1_stuart_td_2;Light tank
us_m24_chaffee_shop;M24 Chaffee
us_m24_chaffee_0;Light Tank, M24 Chaffee
us_m24_chaffee_1;M24
us_m24_chaffee_2;Light tank
us_m24_chaffee_tl_shop;␙ M24 Chaffee
us_m24_chaffee_tl_0;␙ Light Tank, M24 Chaffee
us_m24_chaffee_tl_1;␙ M24
us_m24_chaffee_tl_2;Light tank
us_m3_lee_shop;M3 Lee
us_m3_lee_0;Medium Tank, M3 Lee
us_m3_lee_1;M3
us_m3_lee_2;Medium tank
us_mk1_grant_shop;▃ Grant Mk. I
us_mk1_grant_0;Medium Tank, Grant Mk. I
us_mk1_grant_1;▃ Grant Mk. I
us_mk1_grant_2;Medium tank
us_m4_sherman_shop;M4
us_m4_sherman_0;Medium Tank, M4 Sherman
us_m4_sherman_1;M4
us_m4_sherman_2;Medium tank
us_m4_sherman_promo_shop;M4
us_m4_sherman_promo_0;Medium Tank, M4 Sherman
us_m4_sherman_promo_1;M4
us_m4_sherman_promo_2;Medium tank
us_m4_sherman_calliope_shop;M4 Calliope
us_m4_sherman_calliope_0;Medium Tank, M4 Sherman (Rocket Launcher, T34 Calliope)
us_m4_sherman_calliope_1;M4 Calliope
us_m4_sherman_calliope_2;Medium tank
us_m4_t26_shop;M4/T26
us_m4_t26_0;Medium Tank, M4A3(105) Sherman with T26 Turret
us_m4_t26_1;M4/T26
us_m4_t26_2;
us_m4a1_1942_sherman_shop;M4A1
us_m4a1_1942_sherman_0;Medium Tank, M4A1 Sherman
us_m4a1_1942_sherman_1;M4A1
us_m4a1_1942_sherman_2;Medium tank
us_m4a1_76w_sherman_shop;M4A1(76)W
us_m4a1_76w_sherman_0;Medium Tank, M4A1(76) Wet, Sherman
us_m4a1_76w_sherman_1;M4A1(76)W
us_m4a1_76w_sherman_2;Medium tank
us_m4a2_sherman_shop;M4A2
us_m4a2_sherman_0;Medium Tank, M4A2 Sherman
us_m4a2_sherman_1;M4A2
us_m4a2_sherman_2;Medium tank
us_m4a2_76w_sherman_shop;M4A2(76)W
us_m4a2_76w_sherman_0;Medium Tank, M4A2(76)W Sherman
us_m4a2_76w_sherman_1;M4A2(76)W
us_m4a2_76w_sherman_2;Medium tank
us_m4a3_105_sherman_shop;M4A3(105) HVSS
us_m4a3_105_sherman_0;Medium Tank, M4A3(105) Sherman Horizontal Volute Spring Suspension Sherman
us_m4a3_105_sherman_1;M4A3(105)
us_m4a3_105_sherman_2;Medium tank
us_m4a3e2_sherman_jumbo_shop;M4A3E2(75)W
us_m4a3e2_sherman_jumbo_0;Assault Tank, M4A3E2(75)W Sherman "Jumbo"
us_m4a3e2_sherman_jumbo_1;M4A3E2(75)
us_m4a3e2_sherman_jumbo_2;Assault tank
us_m4a3e2_sherman_jumbo_cobra_king_shop;M4A3E2(75)W «Cobra King»
us_m4a3e2_sherman_jumbo_cobra_king_0;Assault Tank, M4A3E2(75)W Sherman "Jumbo" [3083084 | C Company, 37th Tank Battalion] «Cobra King»
us_m4a3e2_sherman_jumbo_cobra_king_1;M4A3E2(75)
us_m4a3e2_sherman_jumbo_cobra_king_2;Assault tank
us_m4a3e2_76w_sherman_jumbo_shop;M4A3E2(76)W
us_m4a3e2_76w_sherman_jumbo_0;Assault Tank, M4A3E2(76)W Sherman "Jumbo"
us_m4a3e2_76w_sherman_jumbo_1;M4A3E2(76)
us_m4a3e2_76w_sherman_jumbo_2;Assault tank
us_m4a3e8_76w_sherman_shop;M4A3(76)W HVSS
us_m4a3e8_76w_sherman_0;Medium Tank, M4A3(76)W Horizontal Volute Spring Suspension Sherman
us_m4a3e8_76w_sherman_1;M4A3(76)W
us_m4a3e8_76w_sherman_2;Medium tank
us_m4a5_ram_2_0;▃ Cruiser Tank, Ram Mk. II
us_m4a5_ram_2_1;▃ Ram Mk. II
us_m4a5_ram_2_2;Medium tank
us_m4a5_ram_2_shop;▃ Ram Mk. II
us_halftrack_m15_shop;M15 CGMC
us_halftrack_m15_0;Combination Gun Motor Carriage, M15
us_halftrack_m15_1;M15 CGMC
us_halftrack_m15_2;SPAA
us_halftrack_m16_shop;M16 MGMC
us_halftrack_m16_0;Multiple Gun Motor Carriage, M16
us_halftrack_m16_1;M16 MGMC
us_halftrack_m16_2;SPAA
us_m10_shop;M10 GMC
us_m10_0;3-inch Gun Motor Carriage, M10
us_m10_1;M10 GMC
us_m10_2;SPG
us_t18_e2_shop;T18E2
